Show,Date,Placement,Artist,Song,Total
Show! Music Core,12-17,1.,LE SSERAFIM,ANTIFRAGILE,"6,396"
Show! Music Core,12-10,1.,LE SSERAFIM,ANTIFRAGILE,"6,017"
Show! Music Core,12-03,1.,LE SSERAFIM,ANTIFRAGILE,"6,384"
Show! Music Core,11-26,1.,Lim Young-woong,London Boy,"7,060"
Show! Music Core,11-19,1.,(G)I-DLE,Nxde,"6,191"
Show! Music Core,11-12,1.,(G)I-DLE,Nxde,"7,684"
Show! Music Core,10-29,1.,(G)I-DLE,Nxde,"9,081"
Show! Music Core,10-22,1.,IVE,After LIKE,"6,672"
Show! Music Core,10-08,1.,BLACKPINK,Shut Down,"7,472"
Show! Music Core,10-01,1.,NCT 127,2 Baddies,"6,638"
Show! Music Core,09-24,1.,IVE,After LIKE,"6,935"
Show! Music Core,09-17,1.,IVE,After LIKE,"7,807"
Show! Music Core,09-03,1.,IVE,After LIKE,"9,191"
Show! Music Core,08-27,1.,THE BOYZ,Whisper,"6,197"
Show! Music Core,08-20,1.,NewJeans,Attention,"7,495"
Show! Music Core,08-06,1.,WSG Wannabe (GayaG),At The Moment,"6,378"
Show! Music Core,07-23,1.,WSG Wannabe (GayaG),At The Moment,"6,153"
Show! Music Core,07-16,1.,Nayeon,POP!,"7,022"
Show! Music Core,07-09,1.,fromis_9,Stay That Way,"8,242"
Show! Music Core,07-02,1.,Lim Young-woong,If We Ever Meet Again,"6,678"
Show! Music Core,06-25,1.,BTS,Yet to Come,"7,415"
Show! Music Core,06-11,1.,NCT DREAM,Beatbox,"9,800"
Show! Music Core,06-04,1.,Kang Daniel,Upside Down,"7,820"
Show! Music Core,05-21,1.,PSY,That That,"6,586"
Show! Music Core,05-14,1.,Lim Young-woong,If We Ever Meet Again,"7,885"
Show! Music Core,05-07,1.,BIGBANG,Still Life,"6,551"
Show! Music Core,04-30,1.,BIGBANG,Still Life,"7,883"
Show! Music Core,04-23,1.,BIGBANG,Still Life,"7,165"
Show! Music Core,04-09,1.,NCT DREAM,Glitch Mode,"9,300"
Show! Music Core,03-26,1.,(G)I-DLE,TOMBOY,"7,588"
Show! Music Core,03-19,1.,Taeyeon,INVU,"7,287"
Show! Music Core,03-12,1.,Taeyeon,INVU,"7,180"
Show! Music Core,03-05,1.,Taeyeon,INVU,"6,379"
Show! Music Core,02-26,1.,Taeyeon,INVU,"7,277"
Show! Music Core,01-22,1.,IVE,ELEVEN,"6,600"
Show! Music Core,01-15,1.,IVE,ELEVEN,"6,532"
Show! Music Core,01-08,1.,IVE,ELEVEN,"6,408"
