Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,04-05,1.,KiiiKiii,I DO ME,"5,936","3,088","1,000",34,800,272,220,500,22
Show! Music Core,04-05,2.,JENNIE,like JENNIE,"5,650","5,000",26,0,0,204,180,92,148
Show! Music Core,04-05,3.,LE SSERAFIM,HOT,"5,367","3,140",35,408,102,224,500,458,500
Show! Music Core,03-29,1.,G-Dragon,TOO BAD (feat. Anderson Paak),"6,893","5,000",205,89,239,199,500,161,500
Show! Music Core,03-29,2.,THE BOYZ,VVV,"5,141","1,822",546,"1,000",240,500,400,500,133
Show! Music Core,03-29,3.,JENNIE,like JENNIE,"4,335","4,093",32,0,0,136,60,12,2
Show! Music Core,03-15,1.,G-Dragon,TOO BAD (feat. Anderson Paak),"7,864","5,000",155,"1,000",300,281,500,183,445
Show! Music Core,03-15,2.,Infinite,Dangerous,"4,474",617,187,866,854,500,450,500,500
Show! Music Core,03-15,3.,IVE,ATTITUDE,"3,035","2,325",0,150,3,299,200,42,16
Show! Music Core,03-08,1.,G-Dragon,TOO BAD (feat. Anderson Paak),"7,465","5,000",492,566,256,68,450,304,329
Show! Music Core,03-08,2.,ZEROBASEONE,BLUE,"4,743","1,069","1,000","1,000",100,74,500,500,500
Show! Music Core,03-08,3.,IVE,ATTITUDE,"3,099","2,342",2,46,200,78,350,70,11
Show! Music Core,03-01,1.,IVE,ATTITUDE,"6,169","4,997",23,129,391,73,400,59,97
Show! Music Core,03-01,2.,ONF,The Stranger,"6,082","1,805","1,000",712,935,130,500,500,500
Show! Music Core,03-01,3.,BOYNEXTDOOR,"If I Say, I LOVE OU","5,836","5,000",0,29,3,67,350,240,147
Show! Music Core,02-22,1.,IVE,REBEL HEART,"5,937","5,000",227,99,0,63,450,39,59
Show! Music Core,02-22,2.,PLAVE,Dash,"4,945","2,264",170,34,477,500,500,500,500
Show! Music Core,02-22,3.,BOYNEXTDOOR,"If I Say, I LOVE OU","4,154","3,411",0,26,300,45,350,18,4
Show! Music Core,02-15,1.,PLAVE,Dash,"9,571",,,,,,,,
Show! Music Core,02-15,2.,IVE,REBEL HEART,"6,988",,,,,,,,
Show! Music Core,02-15,3.,BOYNEXTDOOR,"If I Say, I LOVE OU","3,972",,,,,,,,
Show! Music Core,02-08,1.,IVE,REBEL HEART,"7,347",,,,,,,,
Show! Music Core,02-08,2.,BOYNEXTDOOR,"If I Say, I LOVE OU","5,340",,,,,,,,
Show! Music Core,02-08,3.,MINNIE,HER,"2,541",,,,,,,,
Show! Music Core,01-25,1.,IVE,REBEL HEART,"8,341",,,,,,,,
Show! Music Core,01-25,2.,BOYNEXTDOOR,"If I Say, I LOVE OU","5,815",,,,,,,,
Show! Music Core,01-25,3.,ROSÉ,toxic till the end,"5,646",,,,,,,,
Show! Music Core,01-18,1.,G-Dragon,HOME SWEET HOME,"6,581","5,000",0,0,240,352,500,169,320
Show! Music Core,01-18,2.,BSS,CBZ (Prime time),"5,795","2,275","1,000",510,480,362,450,218,500
Show! Music Core,01-18,3.,BOYNEXTDOOR,"If I Say, I LOVE OU","5,777","2,546",0,"1,000",840,473,350,500,68
Show! Music Core,01-11,1.,G-Dragon,HOME SWEET HOME,"6,918","5,000",0,0,100,368,450,500,500
Show! Music Core,01-11,2.,ROSÉ,toxic till the end,"5,137","3,791",488,0,200,321,260,38,2
Show! Music Core,01-11,3.,JAESSBEE,Every Moment With You,"4,054","3,191",0,55,200,500,0,106,39
